Env_before,Env_after,F_ST_M2_bef.aft.
-4.5,-1.5,0.0547138047138048
-3.5,-0.5,0.210498129747722
-2.5,0.5,0.669113686381335
-1.5,1.5,0.791209193383106
-0.5,2.5,0.597456625537749
0.5,3.5,0.221099887766554
1.5,4.5,0.0505050505050505
2.5,5.5,0
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0404040404040406
-3.5,-0.5,0.150863473444119
-2.5,0.5,0.612794612794613
-1.5,1.5,0.79725135975136
-0.5,2.5,0.581162433899519
0.5,3.5,0.245454545454545
1.5,4.5,0.0606060606060606
2.5,5.5,0
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0392817059483728
-3.5,-0.5,0.236111111111111
-2.5,0.5,0.658402203856749
-1.5,1.5,0.856692063888947
-0.5,2.5,0.687703111872037
0.5,3.5,0.240981240981241
1.5,4.5,0.0547138047138047
2.5,5.5,0.00505050505050505
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0656565656565655
-3.5,-0.5,0.220875420875421
-2.5,0.5,0.664975038164789
-1.5,1.5,0.861427486712225
-0.5,2.5,0.728587242285872
0.5,3.5,0.317234848484849
1.5,4.5,0.0847362514029181
2.5,5.5,0
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0454545454545455
-3.5,-0.5,0.268850792444733
-2.5,0.5,0.573670454437381
-1.5,1.5,0.855262382433187
-0.5,2.5,0.793352806821865
0.5,3.5,0.411829134720701
1.5,4.5,0.115319865319865
2.5,5.5,0.0151515151515151
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0744949494949493
-3.5,-0.5,0.271074380165289
-2.5,0.5,0.597692998629036
-1.5,1.5,0.773442229625586
-0.5,2.5,0.730836017441224
0.5,3.5,0.281410597200071
1.5,4.5,0.0353535353535354
2.5,5.5,0
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.00505050505050505
-3.5,-0.5,0.195959595959596
-2.5,0.5,0.646457013844047
-1.5,1.5,0.850344643210006
-0.5,2.5,0.633237133237133
0.5,3.5,0.306451612903226
1.5,4.5,0.0802139037433155
2.5,5.5,0.0252525252525252
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0202020202020203
-3.5,-0.5,0.311207311207311
-2.5,0.5,0.663324979114453
-1.5,1.5,0.815273588970271
-0.5,2.5,0.605533244087461
0.5,3.5,0.331524197195839
1.5,4.5,0.0802139037433155
2.5,5.5,0.0151515151515151
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0555555555555556
-3.5,-0.5,0.220650953984287
-2.5,0.5,0.688478992826819
-1.5,1.5,0.778600315306052
-0.5,2.5,0.782181713028162
0.5,3.5,0.350974534073126
1.5,4.5,0.0353535353535354
2.5,5.5,0.00505050505050505
3.5,6.5,0
4.5,7.5,0
-4.5,-1.5,0.0392817059483728
-3.5,-0.5,0.250742721330957
-2.5,0.5,0.629713989250475
-1.5,1.5,0.838287643873847
-0.5,2.5,0.734486969375623
0.5,3.5,0.341531254574733
1.5,4.5,0.0707070707070707
2.5,5.5,0
3.5,6.5,0
4.5,7.5,0
